edad,ingreso_anual,saldo_cuenta,meses_empleado,ratio_deuda,historial_pagos,productos_banco,tiene_tarjeta,default
23,44605.53,-5000.0,225.0,0.3198,1,6,0,0
62,14618.66,2186.24,243.0,0.1035,0,1,1,0
55,40754.57,-297.82,32.0,0.157,2,7,1,0
43,21574.79,10085.22,144.0,0.3772,1,6,1,1
42,38064.91,3483.69,67.0,0.0622,0,2,1,0
66,8000.0,-3387.75,293.0,0.4628,0,1,1,0
22,16799.92,10773.06,339.0,0.1046,2,3,1,0
57,81598.16,8830.33,3.0,0.5167,0,1,1,1
29,65759.94,-5000.0,3.0,0.3671,2,6,0,1
23,77975.98,5018.13,391.0,0.2764,2,5,0,0
48,79693.03,-2720.61,160.0,0.3613,2,7,1,0
73,61824.69,-2931.5,405.0,0.2221,2,3,0,0
59,,17956.12,315.0,0.2725,2,2,1,0
61,19068.73,3994.17,376.0,0.1261,2,6,0,0
58,73668.62,1259.69,184.0,0.0885,0,1,0,0
62,46614.2,3679.61,145.0,0.1555,0,5,1,0
47,107350.57,9993.92,346.0,0.3002,2,7,1,0
25,35872.55,-2612.84,303.0,0.6217,2,1,1,0
65,94322.4,-1246.8,273.0,0.1594,2,6,1,0
43,41080.21,8253.37,175.0,0.5028,2,4,0,1
46,78401.21,-5000.0,294.0,0.3115,2,2,1,0
39,,10926.17,186.0,0.2797,2,6,0,0
28,19426.25,-5000.0,427.0,0.1485,1,2,1,0
70,32875.05,1033.87,340.0,0.2672,1,5,0,0
62,19175.52,-5000.0,190.0,0.2123,0,5,1,0
54,14251.39,-5000.0,,0.2423,2,5,1,0
40,61676.67,13381.33,34.0,0.2322,1,3,1,1
64,40084.29,11355.66,398.0,0.2993,2,7,1,0
49,46309.16,12210.58,199.0,0.166,1,5,1,1
43,58905.98,-5000.0,110.0,0.1926,2,5,1,0
43,8000.0,-5000.0,398.0,0.3497,2,2,0,0
30,77169.15,5718.98,315.0,0.3418,2,2,0,0
23,36272.65,8722.54,35.0,0.5237,2,2,1,1
49,58310.03,-3396.11,128.0,0.0432,2,1,1,0
68,60517.82,-1631.37,216.0,0.3717,1,1,1,0
21,79269.91,-5000.0,301.0,0.3152,0,4,0,0
66,42378.57,16265.96,387.0,0.3376,1,3,1,0
65,8000.0,-799.65,176.0,0.046,1,4,1,0
33,46428.19,3250.34,388.0,0.5598,2,1,1,0
54,50017.67,3669.16,379.0,0.2507,2,1,1,0
27,19143.48,11844.96,181.0,0.3029,0,7,1,0
61,48687.27,-4619.73,449.0,0.0868,2,5,0,0
57,35974.54,12346.09,453.0,0.168,2,7,1,0
38,11431.15,-5000.0,139.0,0.1605,0,3,1,0
21,61787.12,12325.76,267.0,0.4333,2,3,0,0
73,30906.87,-5000.0,417.0,0.4864,2,4,1,0
43,34840.52,2163.55,258.0,0.1997,1,3,0,0
68,33435.53,16003.5,355.0,0.2196,1,1,1,0
56,75886.96,8578.05,383.0,0.2514,1,5,1,0
62,43977.1,6369.94,271.0,0.2506,2,1,0,0
61,46977.5,-5000.0,172.0,0.1443,2,1,1,0
29,33984.1,-2878.41,251.0,0.0974,1,4,0,0
38,56571.67,13755.17,399.0,0.4706,1,3,1,0
44,78732.95,6778.72,153.0,0.1842,2,2,1,0
46,61196.52,10121.99,405.0,0.4377,0,6,1,0
20,62171.67,3590.35,97.0,0.108,2,7,0,0
49,60155.76,746.15,221.0,0.1757,1,4,1,0
26,10493.93,9133.29,40.0,0.3246,2,3,0,0
60,23097.03,5074.82,,0.2427,2,2,0,0
56,39875.32,1640.32,341.0,0.186,2,6,1,0
70,26853.4,-5000.0,56.0,0.4818,0,2,0,0
60,18386.57,10631.27,106.0,0.1089,1,5,0,0
38,8000.0,6520.21,253.0,0.2442,2,3,1,0
73,11336.77,-1850.1,237.0,0.3138,2,1,1,1
41,38586.86,12434.02,54.0,0.3389,1,5,1,0
36,43264.34,4950.5,427.0,0.4356,1,4,0,0
69,25173.66,5107.19,221.0,0.2006,1,3,1,0
39,46973.13,10071.16,322.0,0.2446,2,5,1,0
22,34154.16,8349.65,361.0,0.2284,1,4,1,0
44,72264.34,5349.4,81.0,0.4498,2,6,1,0
63,40959.36,1491.32,160.0,0.1576,1,1,1,0
28,62408.27,18869.31,352.0,0.4303,0,4,1,0
44,50080.34,-2870.41,,0.1179,0,3,0,0
25,9948.22,8967.77,103.0,0.1113,2,3,1,0
57,42733.55,2329.13,153.0,0.1495,2,2,1,0
45,14109.4,6637.71,374.0,0.3651,2,4,1,0
36,,12867.39,165.0,0.1934,1,5,0,0
30,26371.73,507.37,37.0,0.1196,1,6,0,1
50,54549.08,7814.69,238.0,0.1702,0,3,1,1
56,11441.14,5124.46,68.0,0.1889,1,2,1,1
71,45367.55,-2130.41,285.0,0.3129,0,5,0,0
42,59310.39,13064.79,448.0,0.2854,2,3,1,0
27,67689.89,,48.0,0.4053,0,3,1,1
65,25895.81,-476.4,134.0,0.3851,2,4,1,0
53,45443.77,11828.75,271.0,0.188,2,5,1,0
57,49603.67,-3651.36,72.0,0.0206,2,4,1,0
23,83678.16,2768.53,256.0,0.2165,2,1,1,0
35,8000.0,-433.79,103.0,0.3481,2,7,0,0
61,22222.44,9010.5,305.0,0.2359,2,5,1,0
65,115111.56,-837.47,173.0,0.1522,0,7,0,0
42,38172.57,9067.86,444.0,0.2719,0,7,0,0
63,8000.0,7755.68,402.0,0.3912,2,3,1,0
65,30436.25,-1.99,476.0,0.4014,1,3,1,0
40,8000.0,17637.74,73.0,0.4042,2,6,0,0
69,51023.02,-2961.88,455.0,0.2712,0,7,1,0
34,65244.62,-5000.0,7.0,0.1879,2,1,1,0
31,22208.44,9848.79,105.0,0.3768,2,4,1,0
56,33231.9,-5000.0,415.0,0.2858,2,4,0,0
54,68091.35,14934.53,413.0,0.4923,2,2,0,0
25,8000.0,,143.0,0.4771,1,2,1,0
65,11960.72,-5000.0,404.0,0.2304,2,3,0,0
29,39297.12,-4587.72,36.0,0.3852,2,1,1,0
63,26191.63,-5000.0,161.0,0.0792,1,3,1,0
18,37653.33,6063.06,13.0,0.1228,2,7,1,1
63,13406.24,-5000.0,248.0,0.393,2,7,1,0
62,50357.84,7016.71,431.0,0.4471,2,7,1,0
62,41269.17,561.41,294.0,0.1235,1,2,1,0
55,58729.76,-802.91,251.0,0.1254,2,7,1,0
44,50009.99,7074.77,95.0,0.0561,2,6,1,0
58,50167.25,7988.09,293.0,0.6099,2,7,0,0
33,8842.32,12166.42,155.0,0.347,1,7,0,0
62,57314.79,-2070.23,295.0,0.1246,2,2,1,0
49,36728.34,2761.52,62.0,0.3354,2,5,1,0
44,40835.04,-2082.62,250.0,0.1614,1,1,1,0
46,71206.61,4303.9,238.0,0.0686,0,3,1,1
50,27014.11,-3226.32,369.0,0.2194,2,1,1,0
20,78779.61,-392.77,436.0,0.7874,2,7,1,0
25,81111.88,-352.0,434.0,0.3833,1,4,0,0
31,63819.61,5346.89,163.0,0.3608,2,7,1,0
24,20484.48,3023.64,307.0,0.1166,0,7,0,0
43,8000.0,7050.41,313.0,0.2001,2,6,0,0
56,71970.87,2144.03,405.0,0.5417,2,7,1,0
55,47784.63,-1638.02,387.0,0.3152,1,3,1,0
44,26370.06,4530.26,4.0,0.131,2,5,1,0
66,74339.06,-4337.47,384.0,0.514,1,1,0,0
50,23461.03,7553.26,230.0,0.3857,2,7,1,0
22,34396.12,716.28,456.0,0.0919,2,3,1,0
61,58122.26,4636.16,289.0,0.1497,2,7,1,0
50,17159.93,4760.19,185.0,0.4936,1,7,1,0
54,42262.98,15812.36,96.0,0.2295,2,6,0,0
50,72228.43,6052.67,455.0,0.5017,1,7,1,0
49,50277.77,3585.75,76.0,0.5576,0,7,0,1
